[# ERROR | 2024-03-27 | 17:02:51.322 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.415 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.525 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.618 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.712 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.820 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:51.913 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.021 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.114 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.223 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.315 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.424 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.515 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.622 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.716 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.795 | PID=8672 | ThreadId=4980 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2024-03-27 | 17:02:52.838 | PID=8672 | ThreadId=4044 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
